"year","month","day","mois","PRCP","TMAX","TMIN","UMAX","UMIN","RAD","WIND"
"1981","01","01",1,0,34.3,14.1,58,12,10,1
"1981","01","02",1,0,33.8,14,50,10,10.1,0.6
"1981","01","03",1,0,30.4,16.6,48,15,9.6,1.8
"1981","01","04",1,0,30,15.7,48,16,9.3,1.3
"1981","01","05",1,0,31.6,13,60,12,10,1.4
"1981","01","06",1,0,31.5,16,51,17,7.6,1.3
"1981","01","07",1,0,32.8,12,62,14,10,0.6
"1981","01","08",1,0,32.4,12.7,56,12,10.2,1
"1981","01","09",1,0,32.4,12.9,54,11,10.1,1.1
"1981","01","10",1,0,33.8,13,48,12,10.3,0.8
"1981","01","11",1,0,32.2,14,57,15,10,0.9
"1981","01","12",1,0,33.2,13.2,53,11,9.7,0.6
"1981","01","13",1,0,34.5,15.3,45,12,9.9,1.3
"1981","01","14",1,0,34.9,15.4,44,15,9,0
"1981","01","15",1,0,36.1,15.2,64,9,10.2,1.3
"1981","01","16",1,0,34.5,14,50,11,9.6,0.9
"1981","01","17",1,0,35,13.8,53,14,10,0.8
"1981","01","18",1,0,33.9,16.5,44,10,10,0.8
"1981","01","19",1,0,33.2,14,48,6,9.9,1.3
"1981","01","20",1,0,33,18.8,28,7,10.2,2
"1981","01","21",1,0,32.9,16.1,39,11,10.5,1.1
"1981","01","22",1,0,34,13,53,10,10.4,0.9
"1981","01","23",1,0,34.5,12.7,46,8,10.5,0.2
"1981","01","24",1,0,34.2,12,43,10,10.5,0.4
"1981","01","25",1,0,32.7,13.5,51,9,10.2,1.4
"1981","01","26",1,0,30.1,16.8,42,13,9.7,2
"1981","01","27",1,0,29.8,18.7,33,10,9,1.4
"1981","01","28",1,0,30.3,16.1,42,9,9.5,2
"1981","01","29",1,0,31,13.6,46,7,10.2,1.3
"1981","01","30",1,0,32.3,16.8,33,9,9.9,1.1
"1981","01","31",1,0,33,16.7,34,9,9.6,1.3
"1981","02","01",2,0,33.2,17.2,35,8,9.1,1.1
"1981","02","02",2,0,34.4,20.4,29,7,9.9,2
"1981","02","03",2,0,34.2,17,38,6,9.4,1.3
"1981","02","04",2,0,34.7,22,29,8,9.7,1.8
"1981","02","05",2,0,38,19,43,6,10.3,1.3
"1981","02","06",2,0,37.8,16.5,39,6,10.5,0.9
"1981","02","07",2,0,37.8,16.2,43,6,10.5,1.7
"1981","02","08",2,0,35.2,22,21,10,10.6,1.8
